차량 구분,국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
CKD(특수 차량 제외),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Mexico,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Mexico,502.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Mexico,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,EU+EFTA,4542.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,EU+EFTA,16934.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),EU+EFTA,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,E.Europe/CIS,82.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,E.Europe/CIS,2321.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,E.Europe/CIS,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,E.Europe/CIS,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),E.Europe/CIS,2320.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),E.Europe/CIS,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Latin America,1389.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Latin America,1316.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Latin America,726.0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Latin America,14.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Latin America,600.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Latin America,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Middle East/Africa,2475.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Middle East/Africa,3466.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Middle East/Africa,1809.0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Middle East/Africa,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Middle East/Africa,680.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Middle East/Africa,101.0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Asia / Pacific,409.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Asia / Pacific,7119.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Asia / Pacific,225.0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Asia / Pacific,3.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),Asia / Pacific,3040.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),Asia / Pacific,60.0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,India,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,India,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,India,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,India,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),India,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),India,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,China,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,China,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,China,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,China,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),China,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),China,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
